customerID,gender,senior_citizen,dependents,tenure,contract,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,payment_method,app_usage_min_per_week,complaint_count_6m,satisfaction_rating,engagement_score,churn,tenure_bucket,monthly_charges_bin,churn_flag
CUST00048,Male,0,No,57,Month-to-month,Fiber optic,No,Yes,No,148.55,8494.68,Credit card (automatic),359,0,4,0.557,Yes,49+,High,1
CUST00049,Male,0,Yes,11,Month-to-month,No,No,Yes,Yes,125.34,1384.0,Bank transfer (automatic),159,0,5,0.444,Yes,7-24,High,1
CUST00050,Female,0,Yes,13,One year,No,Yes,Yes,No,91.16,1179.04,Credit card (automatic),496,0,10,0.949,No,7-24,Med-High,0
CUST00051,Male,0,No,47,Month-to-month,Fiber optic,No,No,No,56.09,2627.76,Electronic check,574,0,3,0.574,No,25-48,Med-Low,0
CUST00052,Male,0,Yes,29,Month-to-month,DSL,Yes,Yes,No,20.04,619.47,Bank transfer (automatic),544,0,1,0.523,Yes,25-48,Low,1
CUST00053,Male,0,Yes,52,Month-to-month,DSL,No,Yes,Yes,113.6,5938.1,Bank transfer (automatic),294,0,7,0.514,No,49+,Med-High,0
CUST00054,Female,0,No,29,Month-to-month,DSL,No,No,Yes,79.24,2319.84,Bank transfer (automatic),15,1,5,0.209,No,25-48,Med-Low,0
CUST00055,Male,0,Yes,32,Month-to-month,Fiber optic,Yes,No,Yes,43.94,1429.22,Credit card (automatic),459,1,4,0.669,No,25-48,Low,0
CUST00056,Female,0,Yes,0,One year,DSL,No,Yes,No,15.34,17.53,Electronic check,392,0,7,0.77,No,0-6,Low,0
CUST00057,Male,0,Yes,10,One year,Fiber optic,Yes,Yes,Yes,15.77,168.63,Mailed check,43,0,1,0.05,Yes,7-24,Low,1
CUST00058,Male,0,Yes,50,One year,Fiber optic,Yes,Yes,No,61.67,3111.3,Mailed check,247,0,1,0.221,Yes,49+,Med-Low,1
CUST00059,Male,0,Yes,54,Month-to-month,No,No,No,No,62.06,3361.05,Credit card (automatic),527,0,2,0.506,No,49+,Med-Low,0
CUST00060,Male,0,Yes,34,Month-to-month,DSL,Yes,No,Yes,132.92,4552.9,Electronic check,424,0,8,0.808,Yes,25-48,High,1
CUST00061,Male,0,Yes,25,Month-to-month,DSL,Yes,Yes,Yes,61.4,1529.29,Mailed check,284,0,4,0.424,Yes,25-48,Med-Low,1
CUST00062,Male,0,Yes,41,Month-to-month,Fiber optic,No,Yes,No,82.97,3411.03,Electronic check,6,1,7,0.323,Yes,25-48,Med-High,1
CUST00063,Female,0,Yes,17,One year,Fiber optic,No,Yes,No,29.4,509.93,Credit card (automatic),540,1,1,0.496,No,7-24,Low,0
CUST00064,Male,0,Yes,12,Month-to-month,Fiber optic,Yes,Yes,No,13.36,203.69,Mailed check,264,0,2,0.242,No,7-24,Low,0
CUST00065,Male,0,No,17,Two year,No,No,Yes,Yes,27.38,456.88,Credit card (automatic),538,0,1,0.533,No,7-24,Low,0
CUST00066,Male,0,No,34,Month-to-month,DSL,Yes,No,No,22.02,744.18,Electronic check,83,0,3,0.288,No,25-48,Low,0
CUST00067,Male,0,Yes,66,Month-to-month,Fiber optic,Yes,No,Yes,97.45,6465.24,Mailed check,269,4,9,0.708,No,49+,Med-High,0
CUST00068,Female,0,No,19,Month-to-month,DSL,No,Yes,Yes,84.36,1633.71,Bank transfer (automatic),465,0,6,0.623,No,7-24,Med-High,0
CUST00069,Male,0,Yes,26,Month-to-month,Fiber optic,No,Yes,No,146.94,3857.26,Mailed check,318,0,3,0.38,Yes,25-48,High,1
CUST00070,Female,0,Yes,69,Month-to-month,DSL,No,Yes,Yes,141.26,9756.47,Mailed check,474,2,10,0.894,Yes,49+,High,1
CUST00071,Female,0,No,43,One year,Fiber optic,Yes,No,No,100.04,4323.94,Bank transfer (automatic),448,0,3,0.561,No,25-48,Med-High,0
CUST00072,Female,0,Yes,32,One year,DSL,No,Yes,Yes,20.76,659.27,Mailed check,581,0,4,0.768,Yes,25-48,Low,1
CUST00073,Male,0,Yes,12,One year,Fiber optic,Yes,No,Yes,132.41,1626.11,Electronic check,248,3,8,0.649,No,7-24,High,0
CUST00074,Female,0,No,24,Month-to-month,DSL,No,No,No,27.17,655.17,Bank transfer (automatic),66,0,2,0.119,No,7-24,Low,0
CUST00075,Female,1,Yes,26,Two year,No,No,Yes,No,64.09,1665.15,Bank transfer (automatic),50,1,8,0.387,Yes,25-48,Med-Low,1
CUST00076,Male,0,No,35,One year,Fiber optic,Yes,Yes,No,12.83,490.03,Mailed check,419,0,8,0.81,Yes,25-48,Low,1
CUST00077,Female,0,Yes,28,Month-to-month,DSL,No,No,Yes,51.79,1488.67,Credit card (automatic),521,0,2,0.437,No,25-48,Med-Low,0
CUST00078,Male,0,Yes,0,One year,Fiber optic,No,Yes,No,101.33,100.25,Credit card (automatic),13,1,1,0.107,No,0-6,Med-High,0
CUST00079,Female,0,No,67,Month-to-month,Fiber optic,Yes,Yes,Yes,33.39,2283.69,Electronic check,528,2,3,0.576,Yes,49+,Low,1
CUST00080,Female,0,Yes,52,Month-to-month,Fiber optic,No,Yes,Yes,146.79,7651.41,Bank transfer (automatic),187,4,3,0.239,Yes,49+,High,1
CUST00081,Female,0,Yes,52,Month-to-month,Fiber optic,Yes,No,Yes,43.68,2308.9,Bank transfer (automatic),58,0,1,0.149,No,49+,Low,0
CUST00082,Male,0,No,36,One year,DSL,Yes,Yes,Yes,69.95,2521.87,Mailed check,496,3,9,0.936,No,25-48,Med-Low,0
CUST00083,Male,0,Yes,22,Month-to-month,DSL,Yes,Yes,Yes,130.2,2895.46,Credit card (automatic),102,3,9,0.534,Yes,7-24,High,1
CUST00084,Male,0,No,32,Two year,Fiber optic,No,No,No,127.55,4089.55,Electronic check,579,0,7,0.89,No,25-48,High,0
CUST00085,Male,0,No,20,Month-to-month,Fiber optic,No,No,No,55.79,1106.55,Credit card (automatic),330,2,5,0.569,Yes,7-24,Med-Low,1
CUST00086,Male,0,No,0,Month-to-month,DSL,Yes,Yes,Yes,93.8,121.34,Credit card (automatic),481,0,3,0.585,No,0-6,Med-High,0
CUST00087,Male,0,No,14,Month-to-month,Fiber optic,No,Yes,No,33.54,464.76,Bank transfer (automatic),363,0,6,0.663,Yes,7-24,Low,1
CUST00088,Female,0,Yes,41,Month-to-month,No,No,No,Yes,117.22,4796.49,Bank transfer (automatic),483,0,1,0.497,Yes,25-48,High,1
CUST00089,Male,0,Yes,27,One year,Fiber optic,No,No,Yes,40.95,1141.36,Bank transfer (automatic),470,0,1,0.397,No,25-48,Low,0
CUST00090,Female,0,Yes,32,Month-to-month,DSL,Yes,No,No,98.7,3195.03,Electronic check,301,0,5,0.565,No,25-48,Med-High,0
CUST00091,Female,1,No,50,Month-to-month,DSL,No,Yes,Yes,98.16,4915.4,Mailed check,426,1,2,0.542,No,49+,Med-High,0
CUST00092,Male,0,No,72,Month-to-month,DSL,No,No,No,87.69,6352.13,Credit card (automatic),419,0,1,0.429,No,49+,Med-High,0
CUST00093,Female,0,Yes,48,Month-to-month,Fiber optic,No,No,Yes,140.18,6777.68,Mailed check,583,1,9,0.92,No,25-48,High,0
CUST00094,Male,0,No,13,Two year,Fiber optic,Yes,No,No,73.16,948.45,Credit card (automatic),461,2,10,0.91,No,7-24,Med-Low,0
CUST00095,Female,0,Yes,66,One year,Fiber optic,No,Yes,Yes,124.38,8245.76,Credit card (automatic),360,2,1,0.43,Yes,49+,High,1
CUST00096,Male,0,Yes,53,Month-to-month,Fiber optic,Yes,No,No,38.19,2031.91,Bank transfer (automatic),123,3,4,0.371,Yes,49+,Low,1
CUST00097,Female,1,Yes,7,Month-to-month,Fiber optic,Yes,No,No,47.79,344.96,Credit card (automatic),495,0,8,0.764,Yes,7-24,Med-Low,1
CUST00098,Male,0,No,60,Month-to-month,Fiber optic,Yes,No,Yes,102.11,6141.51,Credit card (automatic),19,2,7,0.441,No,49+,Med-High,0
CUST00099,Male,0,Yes,25,Month-to-month,Fiber optic,No,No,No,47.19,1221.97,Bank transfer (automatic),468,0,7,0.684,Yes,25-48,Med-Low,1
CUST00100,Male,0,No,30,One year,No,No,Yes,Yes,136.54,4097.03,Electronic check,207,3,9,0.697,No,25-48,High,0
CUST00101,Male,0,Yes,21,Month-to-month,Fiber optic,Yes,Yes,Yes,19.84,437.98,Mailed check,218,1,2,0.196,Yes,7-24,Low,1
CUST00102,Female,0,Yes,51,Month-to-month,No,Yes,No,Yes,120.74,6206.47,Electronic check,154,0,1,0.191,Yes,49+,High,1
CUST00103,Male,0,No,7,Month-to-month,DSL,No,Yes,No,36.41,286.35,Credit card (automatic),113,0,6,0.321,Yes,7-24,Low,1
CUST00104,Female,0,Yes,20,One year,DSL,Yes,No,Yes,82.57,1699.79,Credit card (automatic),405,0,9,0.794,Yes,7-24,Med-High,1
CUST00105,Female,0,Yes,35,Month-to-month,Fiber optic,Yes,No,Yes,104.32,3673.51,Electronic check,414,0,3,0.528,No,25-48,Med-High,0
CUST00106,Female,0,Yes,71,Two year,No,No,Yes,Yes,34.11,2423.07,Bank transfer (automatic),369,0,2,0.326,No,49+,Low,0
CUST00107,Female,0,Yes,31,One year,Fiber optic,No,Yes,No,45.07,1396.95,Credit card (automatic),42,0,9,0.494,No,25-48,Low,0
CUST00108,Male,0,No,61,Month-to-month,Fiber optic,Yes,No,No,91.49,5590.4,Mailed check,123,0,5,0.405,No,49+,Med-High,0
CUST00109,Female,0,Yes,54,One year,Fiber optic,No,Yes,Yes,49.26,2670.91,Electronic check,374,1,10,0.812,No,49+,Med-Low,0
CUST00110,Male,1,No,49,One year,DSL,Yes,Yes,No,65.42,3211.62,Electronic check,531,0,8,0.916,No,49+,Med-Low,0
CUST00111,Male,0,Yes,49,Month-to-month,DSL,Yes,Yes,No,30.1,1479.01,Mailed check,502,0,3,0.498,No,49+,Low,0
CUST00112,Female,0,Yes,8,Month-to-month,No,No,No,No,19.88,167.38,Credit card (automatic),35,3,5,0.189,Yes,7-24,Low,1
CUST00113,Female,0,Yes,30,Month-to-month,No,No,Yes,Yes,114.54,3468.89,Credit card (automatic),47,0,4,0.286,Yes,25-48,Med-High,1
CUST00114,Male,0,Yes,21,Month-to-month,Fiber optic,Yes,Yes,No,40.79,875.84,Mailed check,129,0,6,0.501,No,7-24,Low,0
CUST00115,Female,0,Yes,12,Month-to-month,DSL,Yes,Yes,Yes,39.42,501.95,Electronic check,104,1,5,0.352,No,7-24,Low,0
CUST00116,Male,0,Yes,20,Two year,DSL,Yes,Yes,Yes,106.34,2173.78,Credit card (automatic),521,5,4,0.542,No,7-24,Med-High,0
CUST00117,Female,0,No,47,Month-to-month,Fiber optic,No,No,Yes,128.8,6095.02,Bank transfer (automatic),243,3,5,0.384,Yes,25-48,High,1
CUST00118,Male,0,Yes,5,Month-to-month,No,Yes,No,No,38.16,202.26,Electronic check,559,1,9,0.998,Yes,0-6,Low,1
CUST00119,Male,0,No,12,Two year,No,No,Yes,No,23.56,273.85,Bank transfer (automatic),142,2,4,0.27,Yes,7-24,Low,1
CUST00120,Male,1,Yes,0,One year,Fiber optic,Yes,No,No,125.63,123.62,Mailed check,384,2,9,0.695,No,0-6,High,0
CUST00121,Female,0,No,3,One year,Fiber optic,No,No,Yes,120.35,380.9,Mailed check,129,1,7,0.437,No,0-6,High,0
CUST00122,Male,0,No,40,Month-to-month,DSL,No,No,No,49.94,2022.67,Electronic check,197,0,2,0.272,Yes,25-48,Med-Low,1
CUST00123,Male,0,Yes,12,Month-to-month,Fiber optic,No,Yes,Yes,104.18,1273.9,Bank transfer (automatic),272,4,6,0.5,Yes,7-24,Med-High,1
CUST00124,Male,0,No,10,One year,No,Yes,Yes,No,48.68,498.27,Bank transfer (automatic),269,1,10,0.749,No,7-24,Med-Low,0
CUST00125,Female,0,No,12,Month-to-month,Fiber optic,Yes,No,No,100.56,1247.53,Electronic check,522,0,1,0.4,No,7-24,Med-High,0
CUST00126,Female,0,No,10,Month-to-month,Fiber optic,No,Yes,No,76.65,778.09,Bank transfer (automatic),156,0,8,0.471,Yes,7-24,Med-Low,1
CUST00127,Female,0,No,66,Month-to-month,No,Yes,Yes,Yes,13.64,949.5,Electronic check,65,5,5,0.227,No,49+,Low,0
CUST00128,Male,1,Yes,62,Two year,Fiber optic,No,No,No,25.46,1599.59,Bank transfer (automatic),282,0,1,0.272,Yes,49+,Low,1
CUST00129,Female,0,Yes,67,One year,Fiber optic,Yes,No,No,119.67,8016.57,Credit card (automatic),104,3,8,0.433,No,49+,High,0
CUST00130,Female,0,Yes,16,One year,DSL,Yes,Yes,No,95.3,1549.04,Bank transfer (automatic),103,1,1,0.225,Yes,7-24,Med-High,1
CUST00131,Male,1,No,19,Month-to-month,Fiber optic,No,No,No,19.79,369.49,Electronic check,56,0,9,0.55,Yes,7-24,Low,1
CUST00132,Female,0,No,29,Month-to-month,Fiber optic,Yes,No,No,109.49,3167.95,Credit card (automatic),433,2,5,0.613,Yes,25-48,Med-High,1
CUST00133,Male,0,No,21,Month-to-month,Fiber optic,Yes,No,No,140.35,2989.24,Electronic check,84,0,10,0.576,Yes,7-24,High,1
CUST00134,Male,0,No,52,Two year,DSL,No,No,Yes,31.88,1654.73,Bank transfer (automatic),246,2,1,0.284,Yes,49+,Low,1
CUST00135,Female,0,No,43,Month-to-month,Fiber optic,No,No,No,97.08,4182.15,Credit card (automatic),188,0,4,0.41,No,25-48,Med-High,0
CUST00136,Female,0,No,56,Month-to-month,Fiber optic,No,Yes,No,134.11,7554.38,Bank transfer (automatic),373,0,8,0.692,Yes,49+,High,1
CUST00137,Female,0,No,36,Month-to-month,DSL,No,No,Yes,34.61,1280.95,Bank transfer (automatic),256,0,1,0.353,Yes,25-48,Low,1
CUST00138,Female,0,Yes,6,Two year,Fiber optic,Yes,No,No,112.49,666.59,Bank transfer (automatic),204,0,5,0.402,Yes,0-6,Med-High,1
CUST00139,Female,0,No,22,One year,No,No,No,Yes,141.66,3157.13,Mailed check,472,0,6,0.666,Yes,7-24,High,1
CUST00140,Female,1,No,50,Two year,DSL,No,No,Yes,53.16,2664.27,Credit card (automatic),252,1,4,0.496,Yes,49+,Med-Low,1
CUST00141,Female,0,No,38,Month-to-month,No,Yes,Yes,Yes,114.73,4353.26,Bank transfer (automatic),415,0,6,0.628,Yes,25-48,Med-High,1
CUST00142,Female,0,No,72,One year,DSL,Yes,No,Yes,74.48,5390.81,Bank transfer (automatic),500,1,9,0.799,No,49+,Med-Low,0
CUST00143,Male,0,No,14,One year,DSL,Yes,No,No,39.93,604.98,Bank transfer (automatic),309,3,8,0.747,No,7-24,Low,0
CUST00144,Male,0,No,11,One year,Fiber optic,Yes,No,No,70.5,782.73,Electronic check,547,0,8,0.917,No,7-24,Med-Low,0
CUST00145,Female,0,No,36,Month-to-month,DSL,No,No,Yes,79.63,2904.64,Bank transfer (automatic),278,0,2,0.363,No,25-48,Med-Low,0
CUST00146,Female,0,Yes,28,Two year,Fiber optic,No,Yes,Yes,56.12,1582.37,Credit card (automatic),525,1,6,0.659,Yes,25-48,Med-Low,1
CUST00147,Female,0,Yes,18,Month-to-month,DSL,No,Yes,No,132.78,2402.6,Mailed check,249,0,3,0.293,Yes,7-24,High,1
CUST00148,Male,0,Yes,70,Month-to-month,Fiber optic,No,No,Yes,74.89,5240.27,Mailed check,18,0,10,0.55,No,49+,Med-Low,0
CUST00149,Male,0,Yes,53,Month-to-month,DSL,Yes,Yes,No,44.0,2334.33,Electronic check,512,4,1,0.454,Yes,49+,Low,1
CUST00150,Female,1,No,71,Month-to-month,Fiber optic,No,Yes,Yes,141.08,10063.82,Bank transfer (automatic),529,0,6,0.689,No,49+,High,0
CUST00151,Male,0,Yes,44,Month-to-month,Fiber optic,No,No,No,137.89,6065.73,Credit card (automatic),22,0,2,0.147,No,25-48,High,0
CUST00152,Female,0,No,41,Month-to-month,No,No,No,Yes,64.26,2652.48,Electronic check,317,0,4,0.503,No,25-48,Med-Low,0
CUST00153,Female,0,No,60,One year,No,Yes,No,No,100.47,6042.26,Mailed check,76,0,5,0.27,No,49+,Med-High,0
CUST00154,Female,0,Yes,5,Month-to-month,No,Yes,Yes,No,28.84,188.46,Electronic check,8,0,3,0.213,Yes,0-6,Low,1
CUST00155,Female,0,Yes,19,Month-to-month,DSL,No,No,No,119.81,2309.35,Credit card (automatic),542,3,2,0.539,No,7-24,High,0
CUST00156,Female,0,No,4,Two year,No,No,Yes,Yes,29.55,145.72,Mailed check,140,1,2,0.228,Yes,0-6,Low,1
CUST00157,Male,0,Yes,36,One year,Fiber optic,Yes,Yes,Yes,58.29,2143.85,Mailed check,568,0,3,0.561,No,25-48,Med-Low,0
CUST00158,Female,0,Yes,59,Month-to-month,No,Yes,Yes,No,48.72,2881.23,Credit card (automatic),75,5,7,0.443,Yes,49+,Med-Low,1
CUST00159,Male,1,Yes,2,One year,DSL,No,No,No,52.6,150.64,Electronic check,9,0,2,0.141,Yes,0-6,Med-Low,1
CUST00160,Female,0,Yes,31,Month-to-month,DSL,No,No,No,80.32,2502.88,Electronic check,81,0,6,0.46,No,25-48,Med-Low,0
CUST00161,Female,0,No,21,One year,Fiber optic,Yes,Yes,Yes,64.67,1349.22,Bank transfer (automatic),251,0,2,0.277,No,7-24,Med-Low,0
CUST00162,Male,0,No,20,Month-to-month,Fiber optic,No,Yes,Yes,81.64,1657.99,Credit card (automatic),347,2,1,0.268,Yes,7-24,Med-High,1
CUST00163,Female,0,Yes,13,Month-to-month,DSL,Yes,No,Yes,124.54,1666.37,Credit card (automatic),376,0,2,0.47,Yes,7-24,High,1
CUST00164,Male,0,Yes,27,Two year,No,No,Yes,No,135.87,3709.95,Bank transfer (automatic),130,2,5,0.276,No,25-48,High,0
CUST00165,Female,1,No,15,Month-to-month,DSL,Yes,Yes,Yes,100.26,1524.21,Bank transfer (automatic),119,0,2,0.187,No,7-24,Med-High,0
CUST00166,Female,0,Yes,5,Month-to-month,DSL,Yes,Yes,No,139.76,737.02,Credit card (automatic),253,0,1,0.181,Yes,0-6,High,1
CUST00167,Male,0,No,41,Month-to-month,DSL,No,No,No,104.72,4291.01,Mailed check,569,3,6,0.706,No,25-48,Med-High,0
CUST00168,Male,0,Yes,13,Month-to-month,Fiber optic,Yes,No,No,41.37,535.8,Credit card (automatic),521,0,1,0.514,No,7-24,Low,0
CUST00169,Male,0,No,20,One year,No,No,No,Yes,91.8,1851.7,Mailed check,563,1,9,0.848,Yes,7-24,Med-High,1
CUST00170,Female,0,Yes,61,Month-to-month,Fiber optic,Yes,No,No,79.02,4825.38,Credit card (automatic),537,1,6,0.815,No,49+,Med-Low,0
CUST00171,Male,0,Yes,60,Month-to-month,Fiber optic,Yes,No,Yes,50.14,3016.93,Credit card (automatic),318,0,10,0.679,No,49+,Med-Low,0
CUST00172,Female,0,Yes,36,Month-to-month,Fiber optic,Yes,No,No,40.48,1506.3,Bank transfer (automatic),566,0,8,0.957,No,25-48,Low,0
CUST00173,Female,0,No,35,Month-to-month,Fiber optic,No,No,No,105.5,3715.61,Bank transfer (automatic),390,0,2,0.45,No,25-48,Med-High,0
CUST00174,Female,1,Yes,30,Month-to-month,DSL,Yes,No,Yes,113.39,3429.56,Credit card (automatic),389,3,10,0.902,Yes,25-48,Med-High,1
CUST00175,Male,0,Yes,16,Month-to-month,DSL,No,No,No,113.1,1829.48,Mailed check,199,1,7,0.498,Yes,7-24,Med-High,1
CUST00176,Male,0,No,49,Month-to-month,DSL,Yes,No,No,71.07,3490.96,Mailed check,268,1,4,0.331,Yes,49+,Med-Low,1
CUST00177,Male,0,Yes,30,Month-to-month,Fiber optic,No,No,Yes,77.35,2358.89,Credit card (automatic),130,0,7,0.412,No,25-48,Med-Low,0
CUST00178,Male,1,No,34,One year,Fiber optic,Yes,No,Yes,52.86,1810.27,Electronic check,62,0,5,0.345,Yes,25-48,Med-Low,1
CUST00179,Male,0,Yes,37,Two year,Fiber optic,Yes,No,Yes,146.67,5455.23,Mailed check,211,0,6,0.483,Yes,25-48,High,1
CUST00180,Female,0,Yes,49,One year,DSL,Yes,Yes,No,63.45,3123.8,Credit card (automatic),161,0,9,0.626,Yes,49+,Med-Low,1
CUST00181,Female,0,No,9,Month-to-month,Fiber optic,Yes,No,Yes,83.47,789.48,Bank transfer (automatic),475,0,8,0.875,Yes,7-24,Med-High,1
