tenure,monthly_charges_cap,app_usage_min_per_week,complaint_count_6m,engagement_score,contract_One year,contract_Two year,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,tenure_bucket_7-24,tenure_bucket_25-48,tenure_bucket_49+,monthly_charges_bin_Med-Low,monthly_charges_bin_Med-High,monthly_charges_bin_High,churn_flag
8,125.3,228,0,0.587,True,False,True,False,True,False,False,True,False,False,False,False,True,0
41,113.67,426,0,0.848,False,False,True,False,False,False,True,False,True,False,False,True,False,0
62,83.96,555,0,0.896,True,False,True,False,False,True,False,False,False,True,False,True,False,0
49,109.44,221,3,0.338,False,True,True,False,False,True,False,False,False,True,False,True,False,0
28,33.22,261,0,0.62,False,False,True,False,False,False,True,False,True,False,False,False,False,0
3,120.35,129,1,0.437,True,False,True,False,False,False,True,False,False,False,False,False,True,0
4,130.3,464,0,0.372,False,False,True,False,False,False,True,False,False,False,False,False,True,0
61,11.58,589,0,0.639,True,False,False,False,False,True,False,False,False,True,False,False,False,0
2,83.6,423,3,0.497,False,False,False,False,False,True,False,False,False,False,False,True,False,0
16,24.8,109,0,0.5,True,False,True,False,False,True,False,True,False,False,False,False,False,0
68,148.35049999999998,96,1,0.285,True,False,True,False,False,False,False,False,False,True,False,False,True,1
56,26.09,519,0,0.448,False,False,False,True,True,False,False,False,False,True,False,False,False,1
62,148.35049999999998,216,0,0.426,True,False,True,False,False,False,False,False,False,True,False,False,True,0
70,45.07,285,0,0.81,True,False,False,False,False,True,False,False,False,True,False,False,False,0
14,61.72,467,0,0.797,True,False,True,False,False,False,True,True,False,False,True,False,False,1
60,42.36,460,0,0.797,True,False,True,False,False,False,False,False,False,True,False,False,False,1
47,16.25,91,0,0.451,False,True,True,False,False,False,True,False,True,False,False,False,False,0
52,75.89,233,5,0.494,True,False,False,False,False,False,False,False,False,True,True,False,False,1
22,135.29,351,2,0.432,False,True,True,False,False,True,False,True,False,False,False,False,True,1
68,116.94,434,0,0.689,True,False,True,False,False,False,True,False,False,True,False,False,True,0
4,126.22,309,0,0.388,False,True,False,True,False,False,True,False,False,False,False,False,True,1
55,83.28,301,0,0.476,True,False,False,False,False,False,True,False,False,True,False,True,False,0
49,140.76,477,4,0.643,True,False,False,False,True,False,False,False,False,True,False,False,True,1
26,99.13,587,2,0.934,False,True,True,False,False,False,False,False,True,False,False,True,False,1
11,119.8,526,0,0.845,False,False,False,True,False,False,False,True,False,False,False,False,True,1
37,54.95,470,5,0.702,True,False,False,False,False,False,False,False,True,False,True,False,False,0
43,55.08,71,0,0.521,True,False,False,False,False,False,True,False,True,False,True,False,False,1
22,141.66,472,0,0.666,True,False,False,True,False,False,True,True,False,False,False,False,True,1
20,136.5,224,1,0.31,False,False,True,False,False,False,False,True,False,False,False,False,True,0
64,98.28,473,4,0.678,True,False,True,False,True,False,False,False,False,True,False,True,False,0
35,107.15,287,0,0.322,False,False,False,False,False,False,True,False,True,False,False,True,False,1
38,31.3,132,1,0.408,False,False,True,False,True,False,False,False,True,False,False,False,False,0
38,129.45,169,0,0.339,False,False,True,False,False,False,True,False,True,False,False,False,True,1
65,107.08,207,0,0.523,False,False,False,True,True,False,False,False,False,True,False,True,False,0
59,51.49,207,1,0.277,False,False,False,False,False,False,False,False,False,True,True,False,False,0
42,137.18,39,0,0.364,False,False,True,False,False,False,False,False,True,False,False,False,True,0
26,57.81,304,0,0.497,False,False,True,False,True,False,False,False,True,False,True,False,False,1
65,86.92,285,0,0.62,True,False,False,False,True,False,False,False,False,True,False,True,False,1
26,76.59,440,1,0.657,False,False,True,False,False,True,False,False,True,False,True,False,False,0
29,137.62,125,1,0.562,False,True,False,True,False,True,False,False,True,False,False,False,True,0
3,23.4,404,0,0.797,False,False,True,False,False,False,True,False,False,False,False,False,False,0
38,74.26,154,0,0.194,False,True,True,False,False,True,False,False,True,False,True,False,False,1
60,18.19,262,1,0.583,True,False,False,False,False,False,False,False,False,True,False,False,False,0
54,53.46,265,0,0.473,False,True,False,False,False,False,False,False,False,True,True,False,False,1
31,79.9,600,0,0.875,True,False,False,True,False,False,True,False,True,False,True,False,False,0
34,22.02,83,0,0.288,False,False,False,False,False,True,False,False,True,False,False,False,False,0
36,118.0,343,1,0.62,False,True,False,True,False,False,True,False,True,False,False,False,True,0
19,37.58,438,1,0.856,False,False,False,False,False,False,True,True,False,False,False,False,False,0
22,70.68,105,0,0.339,False,False,True,False,False,False,False,True,False,False,True,False,False,0
29,136.84,235,1,0.628,False,False,True,False,False,False,False,False,True,False,False,False,True,0
4,131.78,297,0,0.666,False,False,True,False,False,True,False,False,False,False,False,False,True,0
37,146.67,211,0,0.483,False,True,True,False,False,False,True,False,True,False,False,False,True,1
19,82.71,597,0,0.589,True,False,False,False,False,True,False,True,False,False,False,True,False,0
10,87.03,92,0,0.103,False,False,True,False,False,False,False,True,False,False,False,True,False,1
55,38.04,466,0,0.415,False,False,True,False,False,True,False,False,False,True,False,False,False,1
67,29.64,535,5,0.723,True,False,False,False,True,False,False,False,False,True,False,False,False,0
0,127.78,348,0,0.596,False,False,True,False,False,True,False,False,False,False,False,False,True,0
56,101.71,125,2,0.31,False,False,False,False,False,False,True,False,False,True,False,True,False,1
69,65.75,519,2,0.545,False,False,False,False,False,False,True,False,False,True,True,False,False,0
25,47.19,468,0,0.684,False,False,True,False,False,False,False,False,True,False,True,False,False,1
68,131.52,527,1,0.757,False,False,True,False,True,False,False,False,False,True,False,False,True,1
59,136.26,280,1,0.81,False,False,True,False,False,False,True,False,False,True,False,False,True,1
40,43.29,340,1,0.818,True,False,True,False,False,True,False,False,True,False,False,False,False,0
42,36.14,58,3,0.229,False,False,True,False,False,False,False,False,True,False,False,False,False,0
30,113.39,389,3,0.902,False,False,False,False,True,False,False,False,True,False,False,True,False,1
14,148.35049999999998,128,0,0.495,True,False,True,False,False,False,False,True,False,False,False,False,True,0
34,31.93,200,0,0.501,False,False,True,False,False,False,True,False,True,False,False,False,False,1
50,93.75,230,3,0.398,True,False,True,False,True,False,False,False,False,True,False,True,False,1
37,11.67,304,0,0.626,False,False,False,False,True,False,False,False,True,False,False,False,False,0
27,58.49,356,1,0.56,False,True,True,False,False,True,False,False,True,False,True,False,False,0
29,49.83,579,1,0.801,False,False,False,True,False,True,False,False,True,False,True,False,False,1
26,139.34,363,1,0.374,False,False,False,True,False,True,False,False,True,False,False,False,True,1
35,99.07,574,5,1.045,False,True,False,False,False,False,True,False,True,False,False,True,False,0
28,129.05,111,0,0.45,False,False,False,False,True,False,False,False,True,False,False,False,True,0
14,30.59,144,2,0.43,False,False,False,True,False,False,True,True,False,False,False,False,False,1
38,17.21,237,1,0.362,True,False,False,False,True,False,False,False,True,False,False,False,False,1
0,101.68,453,0,0.755,False,True,False,False,False,False,True,False,False,False,False,True,False,0
57,12.79,357,0,0.793,True,False,False,True,True,False,False,False,False,True,False,False,False,0
13,129.21,426,1,0.803,False,False,False,False,False,True,False,True,False,False,False,False,True,0
45,110.75,148,0,0.298,False,False,True,False,False,False,False,False,True,False,False,True,False,1
9,98.71,300,0,0.376,True,False,False,True,False,True,False,True,False,False,False,True,False,1
70,35.52,183,0,0.383,False,True,True,False,False,True,False,False,False,True,False,False,False,0
44,26.72,15,0,0.39,False,False,True,False,False,True,False,False,True,False,False,False,False,0
9,59.63,587,2,0.74,True,False,True,False,False,False,False,True,False,False,True,False,False,1
43,42.54,394,0,0.622,True,False,False,False,False,False,True,False,True,False,False,False,False,0
55,37.71,177,0,0.271,False,False,False,False,True,False,False,False,False,True,False,False,False,0
71,90.77,447,0,0.581,True,False,True,False,True,False,False,False,False,True,False,True,False,1
23,127.4,249,0,0.28,True,False,True,False,False,True,False,True,False,False,False,False,True,1
31,80.32,81,0,0.46,False,False,False,False,False,True,False,False,True,False,True,False,False,0
53,146.2,43,0,0.225,False,False,False,True,False,False,True,False,False,True,False,False,True,0
31,11.76,212,0,0.66,True,False,True,False,True,False,False,False,True,False,False,False,False,0
66,142.12,404,0,0.934,False,False,True,False,False,True,False,False,False,True,False,False,True,1
11,137.95,168,0,0.309,False,False,False,True,False,False,False,True,False,False,False,False,True,1
41,124.88,398,0,0.782,True,False,True,False,False,False,True,False,True,False,False,False,True,0
27,46.55,169,1,0.407,True,False,False,False,True,False,False,False,True,False,True,False,False,1
20,79.23,357,1,0.713,False,True,True,False,False,False,False,True,False,False,True,False,False,1
70,137.11,281,3,0.606,False,False,False,False,True,False,False,False,False,True,False,False,True,1
59,35.93,489,0,0.93,False,False,True,False,True,False,False,False,False,True,False,False,False,0
51,21.95,441,2,0.76,True,False,True,False,False,True,False,False,False,True,False,False,False,0
70,42.69,444,1,0.69,True,False,False,False,False,False,False,False,False,True,False,False,False,0
55,120.42,534,3,0.748,False,True,True,False,True,False,False,False,False,True,False,False,True,0
27,97.81,373,0,0.594,False,False,True,False,False,False,True,False,True,False,False,True,False,1
57,99.09,324,0,0.445,False,False,False,False,False,True,False,False,False,True,False,True,False,0
17,22.38,315,0,0.694,True,False,True,False,False,True,False,True,False,False,False,False,False,0
62,115.47,515,0,0.651,True,False,True,False,True,False,False,False,False,True,False,False,True,0
39,43.8,532,2,0.763,False,False,False,True,False,True,False,False,True,False,False,False,False,1
48,66.35,260,1,0.499,True,False,False,False,True,False,False,False,True,False,True,False,False,1
9,59.62,488,0,0.362,False,False,True,False,False,False,False,True,False,False,True,False,False,0
40,84.48,50,0,0.23,True,False,True,False,False,False,True,False,True,False,False,True,False,1
53,62.97,510,0,0.823,False,False,True,False,False,True,False,False,False,True,True,False,False,1
33,70.03,46,1,0.226,False,False,False,True,False,True,False,False,True,False,True,False,False,1
24,28.74,441,0,0.881,False,False,True,False,False,False,True,True,False,False,False,False,False,0
48,140.91,49,2,0.354,False,False,True,False,False,False,False,False,True,False,False,False,True,1
17,64.09,152,0,0.576,False,True,True,False,False,False,True,True,False,False,True,False,False,0
20,51.33,345,3,0.61,False,False,True,False,False,False,False,True,False,False,True,False,False,1
23,61.8,527,0,0.803,False,False,False,True,False,True,False,True,False,False,True,False,False,0
28,76.68,373,0,0.405,False,True,True,False,False,False,True,False,True,False,True,False,False,0
67,65.93,298,0,0.344,False,False,False,False,False,False,True,False,False,True,True,False,False,1
4,46.71,518,1,0.641,False,True,True,False,True,False,False,False,False,False,True,False,False,1
40,85.53,454,0,0.697,False,False,False,True,False,False,True,False,True,False,False,True,False,1
71,102.82,521,0,0.639,False,False,True,False,False,True,False,False,False,True,False,True,False,1
54,111.28,295,5,0.652,False,False,True,False,False,False,True,False,False,True,False,True,False,1
33,124.11,580,1,0.849,True,False,False,True,False,False,True,False,True,False,False,False,True,0
35,26.41,340,0,0.341,False,False,True,False,True,False,False,False,True,False,False,False,False,0
14,31.7,118,0,0.091,False,False,True,False,False,False,True,True,False,False,False,False,False,1
63,28.13,430,0,0.843,True,False,False,False,False,True,False,False,False,True,False,False,False,0
23,80.48,334,5,0.407,False,False,True,False,False,True,False,True,False,False,True,False,False,0
18,148.35049999999998,493,0,0.717,True,False,False,True,False,False,True,True,False,False,False,False,True,0
57,74.24,172,0,0.526,False,True,False,False,False,False,False,False,False,True,True,False,False,1
8,102.58,389,4,0.284,False,False,True,False,True,False,False,True,False,False,False,True,False,1
16,134.49,256,0,0.264,False,False,False,True,False,True,False,True,False,False,False,False,True,0
10,54.9,78,0,0.284,False,False,True,False,True,False,False,True,False,False,True,False,False,0
14,112.55,106,0,0.533,False,False,False,False,False,False,False,True,False,False,False,True,False,1
69,109.19,415,0,0.82,False,True,False,False,False,False,False,False,False,True,False,True,False,0
62,137.16,317,5,0.635,False,False,True,False,False,False,False,False,False,True,False,False,True,1
32,80.23,535,0,0.992,True,False,False,True,False,True,False,False,True,False,True,False,False,0
63,108.1,391,0,0.912,False,True,False,False,True,False,False,False,False,True,False,True,False,1
50,58.9,565,0,0.576,True,False,False,False,False,True,False,False,False,True,True,False,False,0
39,32.33,157,0,0.222,False,True,False,False,False,False,True,False,True,False,False,False,False,0
8,96.35,313,1,0.477,False,False,False,False,False,True,False,True,False,False,False,True,False,0
69,90.36,254,0,0.594,False,False,False,False,False,False,False,False,False,True,False,True,False,1
72,87.69,419,0,0.429,False,False,False,False,True,False,False,False,False,True,False,True,False,0
69,76.35,148,1,0.275,False,False,False,True,False,True,False,False,False,True,True,False,False,0
3,35.6,316,0,0.262,False,False,False,False,False,False,True,False,False,False,False,False,False,1
59,59.5,577,5,0.878,True,False,True,False,False,True,False,False,False,True,True,False,False,0
19,64.22,187,0,0.525,True,False,False,False,False,False,True,True,False,False,True,False,False,0
50,137.13,487,1,0.846,False,False,False,False,False,False,False,False,False,True,False,False,True,1
69,113.85,134,0,0.379,False,False,True,False,True,False,False,False,False,True,False,True,False,1
30,68.09,130,4,0.615,False,False,True,False,False,True,False,False,True,False,True,False,False,1
18,21.61,25,0,0.437,False,False,False,True,True,False,False,True,False,False,False,False,False,1
28,83.58,475,0,0.464,False,False,True,False,True,False,False,False,True,False,False,True,False,0
5,28.84,8,0,0.213,False,False,False,True,False,True,False,False,False,False,False,False,False,1
43,72.56,243,2,0.518,False,False,True,False,True,False,False,False,True,False,True,False,False,0
6,12.73,64,0,0.349,False,False,False,True,False,False,False,False,False,False,False,False,False,0
39,132.46,423,2,0.882,False,False,True,False,True,False,False,False,True,False,False,False,True,0
56,134.11,373,0,0.692,False,False,True,False,False,False,False,False,False,True,False,False,True,1
71,141.08,529,0,0.689,False,False,True,False,False,False,False,False,False,True,False,False,True,0
3,27.8,219,0,0.244,False,False,True,False,False,False,True,False,False,False,False,False,False,1
38,98.51,543,2,0.665,False,True,True,False,False,True,False,False,True,False,False,True,False,1
69,51.04,285,0,0.468,True,False,True,False,False,False,True,False,False,True,True,False,False,0
58,19.46,509,5,0.742,False,True,False,False,False,False,True,False,False,True,False,False,False,0
70,63.11,503,0,0.766,False,True,False,False,False,False,True,False,False,True,True,False,False,0
6,134.02,50,0,0.471,False,True,False,False,False,False,True,False,False,False,False,False,True,0
38,37.05,337,0,0.362,False,False,False,False,True,False,False,False,True,False,False,False,False,0
26,108.12,425,0,0.85,False,False,True,False,False,False,False,False,True,False,False,True,False,1
7,46.16,109,1,0.232,False,False,True,False,False,True,False,True,False,False,True,False,False,1
60,120.56,417,0,0.728,True,False,False,True,False,True,False,False,False,True,False,False,True,0
15,34.73,202,1,0.46,False,True,False,False,False,False,True,True,False,False,False,False,False,0
2,57.71,268,3,0.61,False,False,True,False,True,False,False,False,False,False,True,False,False,0
51,102.01,81,4,0.482,False,False,True,False,True,False,False,False,False,True,False,True,False,1
9,80.08,353,0,0.429,True,False,True,False,False,True,False,True,False,False,True,False,False,1
41,64.26,317,0,0.503,False,False,False,True,False,True,False,False,True,False,True,False,False,0
17,144.79,365,1,0.693,False,False,False,False,False,False,True,True,False,False,False,False,True,1
48,15.04,507,3,0.863,False,True,True,False,False,False,True,False,True,False,False,False,False,0
68,111.18,444,1,0.513,False,False,True,False,False,False,False,False,False,True,False,True,False,0
11,122.93,116,4,0.303,False,True,True,False,True,False,False,True,False,False,False,False,True,0
63,10.9,15,0,0.132,False,False,False,False,False,False,False,False,False,True,False,False,False,1
45,107.76,516,0,0.82,True,False,False,True,False,False,True,False,True,False,False,True,False,0
4,47.46,437,0,0.557,False,False,False,True,False,False,True,False,False,False,True,False,False,0
64,35.87,94,0,0.462,True,False,True,False,False,True,False,False,False,True,False,False,False,0
27,37.31,114,0,0.463,True,False,False,False,True,False,False,False,True,False,False,False,False,1
28,122.96,224,0,0.551,False,False,False,True,False,False,False,False,True,False,False,False,True,0
36,132.56,181,2,0.288,False,False,True,False,False,False,False,False,True,False,False,False,True,0
52,100.63,446,2,0.71,False,False,True,False,False,True,False,False,False,True,False,True,False,1
4,104.86,509,0,0.809,False,False,True,False,False,False,False,False,False,False,False,True,False,0
41,14.88,39,0,0.452,False,False,False,False,False,True,False,False,True,False,False,False,False,0
23,120.0,491,0,0.899,True,False,False,False,False,False,True,True,False,False,False,False,True,0
53,87.93,50,0,0.5,False,False,True,False,False,False,False,False,False,True,False,True,False,0
62,88.48,268,1,0.801,True,False,True,False,False,False,False,False,False,True,False,True,False,1
23,103.93,108,0,0.113,False,True,True,False,False,False,False,True,False,False,False,True,False,0
70,108.2,0,0,0.173,False,False,True,False,False,False,False,False,False,True,False,True,False,1
31,20.97,73,3,0.132,True,False,True,False,True,False,False,False,True,False,False,False,False,1
38,41.38,560,0,0.584,False,False,False,True,False,False,False,False,True,False,False,False,False,0
20,29.31,135,1,0.481,False,False,False,True,False,True,False,True,False,False,False,False,False,0
14,116.24,125,0,0.355,False,False,False,False,False,True,False,True,False,False,False,False,True,1
69,118.39,423,2,0.794,False,False,False,True,False,True,False,False,False,True,False,False,True,0
34,132.92,424,0,0.808,False,False,False,False,False,True,False,False,True,False,False,False,True,1
26,39.87,493,0,0.709,False,False,True,False,False,False,True,False,True,False,False,False,False,1
21,13.42,227,1,0.293,True,False,False,True,False,False,True,True,False,False,False,False,False,1
43,19.3,403,1,0.582,False,False,False,False,False,False,False,False,True,False,False,False,False,0
70,75.58,304,0,0.543,True,False,False,False,True,False,False,False,False,True,True,False,False,1
47,128.8,243,3,0.384,False,False,True,False,False,False,False,False,True,False,False,False,True,1
44,127.59,488,0,0.888,False,False,True,False,False,False,True,False,True,False,False,False,True,1
55,140.74,106,0,0.291,False,True,True,False,False,True,False,False,False,True,False,False,True,0
2,11.99,123,1,0.194,False,True,True,False,False,False,False,False,False,False,False,False,False,1
33,12.76,57,0,0.438,False,False,True,False,False,True,False,False,True,False,False,False,False,0
59,43.58,277,0,0.52,False,False,True,False,True,False,False,False,False,True,False,False,False,0
5,89.65,33,0,0.196,False,False,True,False,True,False,False,False,False,False,False,True,False,0
63,23.73,600,0,0.804,False,False,False,False,True,False,False,False,False,True,False,False,False,0
67,27.33,286,0,0.351,False,False,False,False,True,False,False,False,False,True,False,False,False,0
27,31.76,110,0,0.327,False,True,False,True,False,False,False,False,True,False,False,False,False,0
42,131.07,20,0,0.388,False,False,False,False,False,True,False,False,True,False,False,False,True,1
29,69.09,398,0,0.588,False,True,True,False,False,False,True,False,True,False,True,False,False,0
29,32.42,334,4,0.417,False,True,False,True,False,True,False,False,True,False,False,False,False,0
72,92.95,537,0,0.535,True,False,False,False,False,False,True,False,False,True,False,True,False,0
49,29.53,321,3,0.797,False,False,False,True,True,False,False,False,False,True,False,False,False,1
61,109.73,82,0,0.102,False,False,True,False,False,False,False,False,False,True,False,True,False,0
59,92.51,43,0,0.419,False,False,True,False,False,True,False,False,False,True,False,True,False,1
22,11.23,46,2,0.015,False,False,True,False,True,False,False,True,False,False,False,False,False,0
21,139.13,72,0,0.415,False,False,False,True,False,False,True,True,False,False,False,False,True,0
20,20.63,90,1,0.254,False,False,False,False,True,False,False,True,False,False,False,False,False,1
34,129.77,397,0,0.651,False,True,True,False,False,False,True,False,True,False,False,False,True,0
13,53.59,424,0,0.776,False,False,False,True,False,False,True,True,False,False,True,False,False,0
