tenure,monthly_charges_cap,app_usage_min_per_week,complaint_count_6m,engagement_score,churn_flag,contract_One year,contract_Two year,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,tenure_bucket_7-24,tenure_bucket_25-48,tenure_bucket_49+,monthly_charges_bin_Med-Low,monthly_charges_bin_Med-High,monthly_charges_bin_High
21,13.42,227,1,0.293,1,True,False,False,True,False,False,True,True,False,False,False,False,False
17,77.54,45,0,0.369,0,False,False,False,True,True,False,False,True,False,False,True,False,False
57,148.35049999999998,359,0,0.557,1,False,False,True,False,True,False,False,False,False,True,False,False,True
11,125.34,159,0,0.444,1,False,False,False,True,False,False,False,True,False,False,False,False,True
13,91.16,496,0,0.949,0,True,False,False,True,True,False,False,True,False,False,False,True,False
47,56.09,574,0,0.574,0,False,False,True,False,False,True,False,False,True,False,True,False,False
29,20.04,544,0,0.523,1,False,False,False,False,False,False,False,False,True,False,False,False,False
52,113.6,294,0,0.514,0,False,False,False,False,False,False,False,False,False,True,False,True,False
29,79.24,15,1,0.209,0,False,False,False,False,False,False,False,False,True,False,True,False,False
32,43.94,459,1,0.669,0,False,False,True,False,True,False,False,False,True,False,False,False,False
0,15.34,392,0,0.77,0,True,False,False,False,False,True,False,False,False,False,False,False,False
10,15.77,43,0,0.05,1,True,False,True,False,False,False,True,True,False,False,False,False,False
50,61.67,247,0,0.221,1,True,False,True,False,False,False,True,False,False,True,True,False,False
54,62.06,527,0,0.506,0,False,False,False,True,True,False,False,False,False,True,True,False,False
34,132.92,424,0,0.808,1,False,False,False,False,False,True,False,False,True,False,False,False,True
25,61.4,284,0,0.424,1,False,False,False,False,False,False,True,False,True,False,True,False,False
41,82.97,6,1,0.323,1,False,False,True,False,False,True,False,False,True,False,False,True,False
17,29.4,540,1,0.496,0,True,False,True,False,True,False,False,True,False,False,False,False,False
12,13.36,264,0,0.242,0,False,False,True,False,False,False,True,True,False,False,False,False,False
17,27.38,538,0,0.533,0,False,True,False,True,True,False,False,True,False,False,False,False,False
34,22.02,83,0,0.288,0,False,False,False,False,False,True,False,False,True,False,False,False,False
66,97.45,269,4,0.708,0,False,False,True,False,False,False,True,False,False,True,False,True,False
19,84.36,465,0,0.623,0,False,False,False,False,False,False,False,True,False,False,False,True,False
26,146.94,318,0,0.38,1,False,False,True,False,False,False,True,False,True,False,False,False,True
69,141.26,474,2,0.894,1,False,False,False,False,False,False,True,False,False,True,False,False,True
43,100.04,448,0,0.561,0,True,False,True,False,False,False,False,False,True,False,False,True,False
32,20.76,581,0,0.768,1,True,False,False,False,False,False,True,False,True,False,False,False,False
12,132.41,248,3,0.649,0,True,False,True,False,False,True,False,True,False,False,False,False,True
24,27.17,66,0,0.119,0,False,False,False,False,False,False,False,True,False,False,False,False,False
26,64.09,50,1,0.387,1,False,True,False,True,False,False,False,False,True,False,True,False,False
35,12.83,419,0,0.81,1,True,False,True,False,False,False,True,False,True,False,False,False,False
28,51.79,521,0,0.437,0,False,False,False,False,True,False,False,False,True,False,True,False,False
0,101.33,13,1,0.107,0,True,False,True,False,True,False,False,False,False,False,False,True,False
67,33.39,528,2,0.576,1,False,False,True,False,False,True,False,False,False,True,False,False,False
52,146.79,187,4,0.239,1,False,False,True,False,False,False,False,False,False,True,False,False,True
52,43.68,58,0,0.149,0,False,False,True,False,False,False,False,False,False,True,False,False,False
36,69.95,496,3,0.936,0,True,False,False,False,False,False,True,False,True,False,True,False,False
22,130.2,102,3,0.534,1,False,False,False,False,True,False,False,True,False,False,False,False,True
32,127.55,579,0,0.89,0,False,True,True,False,False,True,False,False,True,False,False,False,True
20,55.79,330,2,0.569,1,False,False,True,False,True,False,False,True,False,False,True,False,False
0,93.8,481,0,0.585,0,False,False,False,False,True,False,False,False,False,False,False,True,False
14,33.54,363,0,0.663,1,False,False,True,False,False,False,False,True,False,False,False,False,False
41,117.22,483,0,0.497,1,False,False,False,True,False,False,False,False,True,False,False,False,True
27,40.95,470,0,0.397,0,True,False,True,False,False,False,False,False,True,False,False,False,False
32,98.7,301,0,0.565,0,False,False,False,False,False,True,False,False,True,False,False,True,False
50,98.16,426,1,0.542,0,False,False,False,False,False,False,True,False,False,True,False,True,False
72,87.69,419,0,0.429,0,False,False,False,False,True,False,False,False,False,True,False,True,False
48,140.18,583,1,0.92,0,False,False,True,False,False,False,True,False,True,False,False,False,True
13,73.16,461,2,0.91,0,False,True,True,False,True,False,False,True,False,False,True,False,False
66,124.38,360,2,0.43,1,True,False,True,False,True,False,False,False,False,True,False,False,True
53,38.19,123,3,0.371,1,False,False,True,False,False,False,False,False,False,True,False,False,False
7,47.79,495,0,0.764,1,False,False,True,False,True,False,False,True,False,False,True,False,False
60,102.11,19,2,0.441,0,False,False,True,False,True,False,False,False,False,True,False,True,False
25,47.19,468,0,0.684,1,False,False,True,False,False,False,False,False,True,False,True,False,False
30,136.54,207,3,0.697,0,True,False,False,True,False,True,False,False,True,False,False,False,True
21,19.84,218,1,0.196,1,False,False,True,False,False,False,True,True,False,False,False,False,False
51,120.74,154,0,0.191,1,False,False,False,True,False,True,False,False,False,True,False,False,True
7,36.41,113,0,0.321,1,False,False,False,False,True,False,False,True,False,False,False,False,False
20,82.57,405,0,0.794,1,True,False,False,False,True,False,False,True,False,False,False,True,False
35,104.32,414,0,0.528,0,False,False,True,False,False,True,False,False,True,False,False,True,False
71,34.11,369,0,0.326,0,False,True,False,True,False,False,False,False,False,True,False,False,False
31,45.07,42,0,0.494,0,True,False,True,False,True,False,False,False,True,False,False,False,False
61,91.49,123,0,0.405,0,False,False,True,False,False,False,True,False,False,True,False,True,False
54,49.26,374,1,0.812,0,True,False,True,False,False,True,False,False,False,True,True,False,False
49,65.42,531,0,0.916,0,True,False,False,False,False,True,False,False,False,True,True,False,False
49,30.1,502,0,0.498,0,False,False,False,False,False,False,True,False,False,True,False,False,False
8,19.88,35,3,0.189,1,False,False,False,True,True,False,False,True,False,False,False,False,False
30,114.54,47,0,0.286,1,False,False,False,True,True,False,False,False,True,False,False,True,False
21,40.79,129,0,0.501,0,False,False,True,False,False,False,True,True,False,False,False,False,False
12,39.42,104,1,0.352,0,False,False,False,False,False,True,False,True,False,False,False,False,False
20,106.34,521,5,0.542,0,False,True,False,False,True,False,False,True,False,False,False,True,False
47,128.8,243,3,0.384,1,False,False,True,False,False,False,False,False,True,False,False,False,True
5,38.16,559,1,0.998,1,False,False,False,True,False,True,False,False,False,False,False,False,False
12,23.56,142,2,0.27,1,False,True,False,True,False,False,False,True,False,False,False,False,False
0,125.63,384,2,0.695,0,True,False,True,False,False,False,True,False,False,False,False,False,True
3,120.35,129,1,0.437,0,True,False,True,False,False,False,True,False,False,False,False,False,True
40,49.94,197,0,0.272,1,False,False,False,False,False,True,False,False,True,False,True,False,False
12,104.18,272,4,0.5,1,False,False,True,False,False,False,False,True,False,False,False,True,False
10,48.68,269,1,0.749,0,True,False,False,True,False,False,False,True,False,False,True,False,False
12,100.56,522,0,0.4,0,False,False,True,False,False,True,False,True,False,False,False,True,False
10,76.65,156,0,0.471,1,False,False,True,False,False,False,False,True,False,False,True,False,False
66,13.64,65,5,0.227,0,False,False,False,True,False,True,False,False,False,True,False,False,False
62,25.46,282,0,0.272,1,False,True,True,False,False,False,False,False,False,True,False,False,False
67,119.67,104,3,0.433,0,True,False,True,False,True,False,False,False,False,True,False,False,True
16,95.3,103,1,0.225,1,True,False,False,False,False,False,False,True,False,False,False,True,False
19,19.79,56,0,0.55,1,False,False,True,False,False,True,False,True,False,False,False,False,False
29,109.49,433,2,0.613,1,False,False,True,False,True,False,False,False,True,False,False,True,False
21,140.35,84,0,0.576,1,False,False,True,False,False,True,False,True,False,False,False,False,True
52,31.88,246,2,0.284,1,False,True,False,False,False,False,False,False,False,True,False,False,False
43,97.08,188,0,0.41,0,False,False,True,False,True,False,False,False,True,False,False,True,False
56,134.11,373,0,0.692,1,False,False,True,False,False,False,False,False,False,True,False,False,True
36,34.61,256,0,0.353,1,False,False,False,False,False,False,False,False,True,False,False,False,False
6,112.49,204,0,0.402,1,False,True,True,False,False,False,False,False,False,False,False,True,False
22,141.66,472,0,0.666,1,True,False,False,True,False,False,True,True,False,False,False,False,True
50,53.16,252,1,0.496,1,False,True,False,False,True,False,False,False,False,True,True,False,False
38,114.73,415,0,0.628,1,False,False,False,True,False,False,False,False,True,False,False,True,False
72,74.48,500,1,0.799,0,True,False,False,False,False,False,False,False,False,True,True,False,False
14,39.93,309,3,0.747,0,True,False,False,False,False,False,False,True,False,False,False,False,False
11,70.5,547,0,0.917,0,True,False,True,False,False,True,False,True,False,False,True,False,False
36,79.63,278,0,0.363,0,False,False,False,False,False,False,False,False,True,False,True,False,False
28,56.12,525,1,0.659,1,False,True,True,False,True,False,False,False,True,False,True,False,False
18,132.78,249,0,0.293,1,False,False,False,False,False,False,True,True,False,False,False,False,True
70,74.89,18,0,0.55,0,False,False,True,False,False,False,True,False,False,True,True,False,False
53,44.0,512,4,0.454,1,False,False,False,False,False,True,False,False,False,True,False,False,False
71,141.08,529,0,0.689,0,False,False,True,False,False,False,False,False,False,True,False,False,True
44,137.89,22,0,0.147,0,False,False,True,False,True,False,False,False,True,False,False,False,True
41,64.26,317,0,0.503,0,False,False,False,True,False,True,False,False,True,False,True,False,False
60,100.47,76,0,0.27,0,True,False,False,True,False,False,True,False,False,True,False,True,False
5,28.84,8,0,0.213,1,False,False,False,True,False,True,False,False,False,False,False,False,False
19,119.81,542,3,0.539,0,False,False,False,False,True,False,False,True,False,False,False,False,True
4,29.55,140,1,0.228,1,False,True,False,True,False,False,True,False,False,False,False,False,False
36,58.29,568,0,0.561,0,True,False,True,False,False,False,True,False,True,False,True,False,False
59,48.72,75,5,0.443,1,False,False,False,True,True,False,False,False,False,True,True,False,False
2,52.6,9,0,0.141,1,True,False,False,False,False,True,False,False,False,False,True,False,False
31,80.32,81,0,0.46,0,False,False,False,False,False,True,False,False,True,False,True,False,False
21,64.67,251,0,0.277,0,True,False,True,False,False,False,False,True,False,False,True,False,False
20,81.64,347,2,0.268,1,False,False,True,False,True,False,False,True,False,False,False,True,False
13,124.54,376,0,0.47,1,False,False,False,False,True,False,False,True,False,False,False,False,True
27,135.87,130,2,0.276,0,False,True,False,True,False,False,False,False,True,False,False,False,True
15,100.26,119,0,0.187,0,False,False,False,False,False,False,False,True,False,False,False,True,False
5,139.76,253,0,0.181,1,False,False,False,False,True,False,False,False,False,False,False,False,True
41,104.72,569,3,0.706,0,False,False,False,False,False,False,True,False,True,False,False,True,False
13,41.37,521,0,0.514,0,False,False,True,False,True,False,False,True,False,False,False,False,False
20,91.8,563,1,0.848,1,True,False,False,True,False,False,True,True,False,False,False,True,False
61,79.02,537,1,0.815,0,False,False,True,False,True,False,False,False,False,True,True,False,False
60,50.14,318,0,0.679,0,False,False,True,False,True,False,False,False,False,True,True,False,False
36,40.48,566,0,0.957,0,False,False,True,False,False,False,False,False,True,False,False,False,False
35,105.5,390,0,0.45,0,False,False,True,False,False,False,False,False,True,False,False,True,False
30,113.39,389,3,0.902,1,False,False,False,False,True,False,False,False,True,False,False,True,False
16,113.1,199,1,0.498,1,False,False,False,False,False,False,True,True,False,False,False,True,False
49,71.07,268,1,0.331,1,False,False,False,False,False,False,True,False,False,True,True,False,False
30,77.35,130,0,0.412,0,False,False,True,False,True,False,False,False,True,False,True,False,False
34,52.86,62,0,0.345,1,True,False,True,False,False,True,False,False,True,False,True,False,False
37,146.67,211,0,0.483,1,False,True,True,False,False,False,True,False,True,False,False,False,True
49,63.45,161,0,0.626,1,True,False,False,False,True,False,False,False,False,True,True,False,False
9,83.47,475,0,0.875,1,False,False,True,False,False,False,False,True,False,False,False,True,False
22,95.08,116,0,0.208,0,False,False,False,True,False,False,True,True,False,False,False,True,False
2,13.75,316,3,0.255,1,True,False,True,False,False,False,True,False,False,False,False,False,False
71,10.59,155,0,0.256,0,True,False,False,False,False,False,False,False,False,True,False,False,False
50,15.39,598,3,0.571,0,False,False,False,False,False,False,False,False,False,True,False,False,False
10,54.9,78,0,0.284,0,False,False,True,False,True,False,False,True,False,False,True,False,False
72,118.27,538,0,0.512,1,False,False,True,False,False,False,False,False,False,True,False,False,True
12,30.46,232,0,0.758,0,False,False,False,False,False,False,True,True,False,False,False,False,False
25,14.88,335,3,0.425,1,False,False,True,False,False,False,False,False,True,False,False,False,False
52,117.41,71,1,0.301,0,False,False,True,False,False,False,False,False,False,True,False,False,True
41,38.51,144,0,0.549,0,False,True,False,True,False,True,False,False,True,False,False,False,False
36,44.04,85,4,0.481,1,False,False,False,True,True,False,False,False,True,False,False,False,False
17,138.94,12,3,0.308,0,False,False,False,True,True,False,False,True,False,False,False,False,True
45,98.55,115,5,0.536,0,False,False,True,False,True,False,False,False,True,False,False,True,False
67,128.25,293,0,0.669,1,False,True,False,False,True,False,False,False,False,True,False,False,True
53,73.85,314,0,0.364,0,False,False,False,True,False,False,False,False,False,True,True,False,False
37,141.38,209,3,0.49,1,False,False,True,False,False,False,True,False,True,False,False,False,True
27,32.63,539,0,0.688,0,False,False,False,True,False,False,True,False,True,False,False,False,False
19,26.0,138,0,0.527,0,False,False,True,False,True,False,False,True,False,False,False,False,False
53,11.83,421,0,0.576,0,False,False,True,False,False,False,True,False,False,True,False,False,False
20,102.13,563,1,0.787,1,False,False,False,False,False,False,False,True,False,False,False,True,False
16,124.71,269,0,0.308,0,True,False,False,False,False,False,True,True,False,False,False,False,True
12,40.47,265,1,0.467,0,False,True,False,False,True,False,False,True,False,False,False,False,False
18,50.64,309,0,0.372,1,False,False,False,False,False,False,False,True,False,False,True,False,False
52,72.63,307,0,0.472,0,True,False,True,False,False,True,False,False,False,True,True,False,False
12,20.21,214,1,0.696,0,False,True,False,False,False,False,True,True,False,False,False,False,False
37,32.37,335,0,0.372,0,False,False,True,False,True,False,False,False,True,False,False,False,False
72,110.39,153,1,0.608,0,True,False,False,True,False,False,False,False,False,True,False,True,False
4,136.67,481,0,0.65,0,True,False,False,False,False,False,False,False,False,False,False,False,True
71,49.7,399,1,0.522,0,False,True,True,False,False,True,False,False,False,True,True,False,False
53,28.0,368,0,0.703,1,False,False,False,True,False,True,False,False,False,True,False,False,False
58,68.83,473,0,0.735,1,False,False,False,False,False,False,False,False,False,True,True,False,False
45,138.31,109,0,0.325,0,False,False,False,False,False,False,True,False,True,False,False,False,True
23,29.55,50,2,0.127,1,True,False,True,False,False,True,False,True,False,False,False,False,False
9,59.63,587,2,0.74,1,True,False,True,False,False,False,False,True,False,False,True,False,False
34,127.49,313,1,0.808,0,False,False,True,False,False,True,False,False,True,False,False,False,True
43,39.55,89,0,0.542,0,False,True,False,False,False,False,False,False,True,False,False,False,False
34,139.97,194,3,0.375,0,False,False,True,False,False,False,False,False,True,False,False,False,True
59,11.46,476,2,0.63,1,False,False,False,True,False,False,False,False,False,True,False,False,False
27,147.77,438,0,0.492,1,False,False,False,False,True,False,False,False,True,False,False,False,True
29,51.91,213,0,0.562,0,True,False,False,True,False,False,True,False,True,False,True,False,False
35,120.82,276,0,0.661,0,True,False,False,False,False,False,False,False,True,False,False,False,True
21,40.24,535,1,0.72,1,False,False,True,False,False,True,False,True,False,False,False,False,False
50,79.03,16,0,0.107,1,True,False,False,True,True,False,False,False,False,True,True,False,False
45,82.73,439,0,0.636,0,False,False,False,True,True,False,False,False,True,False,False,True,False
26,69.73,36,0,0.345,0,True,False,True,False,False,False,False,False,True,False,True,False,False
57,99.09,324,0,0.445,0,False,False,False,False,False,True,False,False,False,True,False,True,False
33,51.95,338,3,0.486,1,False,False,False,True,True,False,False,False,True,False,True,False,False
44,118.27,33,0,0.467,0,False,True,True,False,False,True,False,False,True,False,False,False,True
4,51.45,272,0,0.27,0,False,True,True,False,False,True,False,False,False,False,True,False,False
40,144.38,112,0,0.414,0,False,False,False,True,True,False,False,False,True,False,False,False,True
52,100.63,446,2,0.71,1,False,False,True,False,False,True,False,False,False,True,False,True,False
55,120.42,534,3,0.748,0,False,True,True,False,True,False,False,False,False,True,False,False,True
57,133.51,237,0,0.746,1,False,False,False,False,True,False,False,False,False,True,False,False,True
29,56.55,514,4,0.48,1,False,False,True,False,True,False,False,False,True,False,True,False,False
17,91.81,148,1,0.24,0,False,False,True,False,True,False,False,True,False,False,False,True,False
5,10.96,121,0,0.304,1,False,False,True,False,False,True,False,False,False,False,False,False,False
58,143.29,463,0,0.562,0,True,False,True,False,True,False,False,False,False,True,False,False,True
55,52.79,371,0,0.308,1,True,False,False,True,False,True,False,False,False,True,True,False,False
11,18.57,60,0,0.261,0,False,True,True,False,False,False,True,True,False,False,False,False,False
30,107.35,118,2,0.457,0,False,False,True,False,False,False,False,False,True,False,False,True,False
49,141.79,555,2,0.468,1,False,False,True,False,False,False,False,False,False,True,False,False,True
66,145.5,90,2,0.48,0,False,False,False,True,False,True,False,False,False,True,False,False,True
9,133.28,18,0,0.074,1,True,False,True,False,False,True,False,True,False,False,False,False,True
11,10.07,145,1,0.302,0,False,True,True,False,False,False,False,True,False,False,False,False,False
14,92.44,377,0,0.554,1,False,False,False,True,False,False,False,True,False,False,False,True,False
68,105.5,223,0,0.67,1,False,False,True,False,True,False,False,False,False,True,False,True,False
70,86.88,442,4,0.803,1,False,True,False,False,False,False,False,False,False,True,False,True,False
50,14.65,55,0,0.448,0,False,False,True,False,False,False,True,False,False,True,False,False,False
37,71.95,260,2,0.41,0,False,False,False,True,False,False,True,False,True,False,True,False,False
10,91.2,586,1,0.519,1,False,False,False,True,False,True,False,True,False,False,False,True,False
27,137.23,139,4,0.696,0,False,False,True,False,False,False,True,False,True,False,False,False,True
40,54.42,436,0,0.742,1,True,False,False,False,False,False,True,False,True,False,True,False,False
71,51.81,411,3,0.763,1,True,False,True,False,False,False,True,False,False,True,True,False,False
69,86.09,355,0,0.719,0,False,True,True,False,False,False,False,False,False,True,False,True,False
72,52.44,17,3,0.402,0,False,False,False,False,False,False,False,False,False,True,True,False,False
16,90.13,232,2,0.256,1,True,False,False,False,False,False,True,True,False,False,False,True,False
59,134.01,596,0,0.809,1,False,False,False,True,True,False,False,False,False,True,False,False,True
62,115.47,515,0,0.651,0,True,False,True,False,True,False,False,False,False,True,False,False,True
41,138.24,534,0,0.563,1,False,True,True,False,False,False,True,False,True,False,False,False,True
2,61.36,192,2,0.218,1,True,False,False,False,True,False,False,False,False,False,True,False,False
7,14.45,498,0,0.689,0,False,False,True,False,False,False,True,True,False,False,False,False,False
29,59.55,158,0,0.243,0,False,True,True,False,False,False,False,False,True,False,True,False,False
41,96.44,318,2,0.687,1,True,False,True,False,False,False,True,False,True,False,False,True,False
42,20.56,22,0,0.41,0,False,False,True,False,False,True,False,False,True,False,False,False,False
8,74.86,466,0,0.956,0,False,False,True,False,False,False,True,True,False,False,True,False,False
21,46.62,104,0,0.404,0,True,False,True,False,False,False,False,True,False,False,True,False,False
16,27.52,317,0,0.467,0,True,False,False,False,False,False,False,True,False,False,False,False,False
56,139.79,310,1,0.316,1,False,False,True,False,True,False,False,False,False,True,False,False,True
6,12.73,64,0,0.349,0,False,False,False,True,False,False,False,False,False,False,False,False,False
67,30.98,80,0,0.084,1,False,False,False,False,False,True,False,False,False,True,False,False,False
67,31.07,70,2,0.216,0,False,True,False,False,False,True,False,False,False,True,False,False,False
32,81.88,477,1,0.637,0,False,False,False,False,True,False,False,False,True,False,False,True,False
25,106.28,244,5,0.293,1,False,True,False,False,True,False,False,False,True,False,False,True,False
16,56.63,5,0,0.305,0,False,False,True,False,False,True,False,True,False,False,True,False,False
72,91.42,414,1,0.732,0,False,False,True,False,False,True,False,False,False,True,False,True,False
15,34.48,259,0,0.219,0,False,False,True,False,False,False,False,True,False,False,False,False,False
45,78.31,178,0,0.338,0,False,False,False,False,False,True,False,False,True,False,True,False,False
35,63.86,427,0,0.408,1,False,False,False,True,False,False,True,False,True,False,True,False,False
31,116.89,250,0,0.261,0,False,False,False,False,False,False,False,False,True,False,False,False,True
57,22.59,539,0,0.509,1,True,False,True,False,True,False,False,False,False,True,False,False,False
45,117.13,492,0,0.606,0,False,True,True,False,False,False,True,False,True,False,False,False,True
50,119.37,498,0,0.681,0,True,False,True,False,False,True,False,False,False,True,False,False,True
44,140.6,138,0,0.663,0,False,True,True,False,False,False,True,False,True,False,False,False,True
38,46.45,91,2,0.576,0,False,False,True,False,False,False,False,False,True,False,True,False,False
6,109.65,200,0,0.562,0,False,False,False,False,False,False,True,False,False,False,False,True,False
60,43.18,309,0,0.518,0,False,False,False,False,False,False,True,False,False,True,False,False,False
60,64.32,84,0,0.231,1,True,False,False,True,True,False,False,False,False,True,True,False,False
10,63.33,466,2,0.519,0,True,False,True,False,False,False,False,True,False,False,True,False,False
56,45.1,500,0,0.715,0,False,True,False,False,True,False,False,False,False,True,False,False,False
8,80.97,397,2,0.871,1,False,False,True,False,False,False,False,True,False,False,True,False,False
47,88.92,146,0,0.17,1,False,True,False,True,False,True,False,False,True,False,False,True,False
40,23.75,301,0,0.522,0,True,False,True,False,False,True,False,False,True,False,False,False,False
5,57.43,579,4,0.549,1,False,False,True,False,False,False,False,False,False,False,True,False,False
7,145.95,270,0,0.63,0,False,False,False,True,False,True,False,True,False,False,False,False,True
29,125.41,129,0,0.263,0,False,False,True,False,True,False,False,False,True,False,False,False,True
6,79.75,71,0,0.133,1,True,False,True,False,True,False,False,False,False,False,True,False,False
0,44.33,385,0,0.614,0,False,False,True,False,False,False,True,False,False,False,False,False,False
24,52.39,484,4,0.604,1,False,False,False,False,False,True,False,True,False,False,True,False,False
51,91.7,147,0,0.32,1,False,False,True,False,False,False,True,False,False,True,False,True,False
70,15.79,24,0,0.619,0,True,False,False,False,False,True,False,False,False,True,False,False,False
13,104.14,99,0,0.383,0,False,False,False,False,False,False,False,True,False,False,False,True,False
36,132.27,215,0,0.486,0,True,False,True,False,True,False,False,False,True,False,False,False,True
56,18.49,341,0,0.594,0,False,False,True,False,False,False,True,False,False,True,False,False,False
4,46.71,518,1,0.641,1,False,True,True,False,True,False,False,False,False,False,True,False,False
2,86.59,334,0,0.709,1,False,False,True,False,False,False,False,False,False,False,False,True,False
64,65.81,484,2,0.882,1,False,False,False,False,True,False,False,False,False,True,True,False,False
42,66.82,246,0,0.263,0,False,False,False,False,False,False,False,False,True,False,True,False,False
58,85.82,67,0,0.26,1,False,False,True,False,False,False,False,False,False,True,False,True,False
69,51.04,285,0,0.468,0,True,False,True,False,False,False,True,False,False,True,True,False,False
11,45.03,7,0,0.426,0,False,False,False,True,False,True,False,True,False,False,False,False,False
72,92.13,418,1,0.38,1,False,False,True,False,True,False,False,False,False,True,False,True,False
56,86.72,95,1,0.18,0,False,False,False,False,False,False,False,False,False,True,False,True,False
72,38.35,181,0,0.579,1,False,False,False,False,False,True,False,False,False,True,False,False,False
55,144.77,221,1,0.644,0,True,False,False,False,False,True,False,False,False,True,False,False,True
52,44.46,155,0,0.551,0,True,False,True,False,True,False,False,False,False,True,False,False,False
27,66.85,99,0,0.411,0,True,False,False,True,True,False,False,False,True,False,True,False,False
43,122.91,586,0,0.639,0,False,True,True,False,False,True,False,False,True,False,False,False,True
40,142.57,491,1,0.806,0,False,False,False,False,False,True,False,False,True,False,False,False,True
65,57.43,564,0,0.737,1,False,False,True,False,False,False,True,False,False,True,True,False,False
41,12.66,424,2,0.796,1,False,True,False,False,False,False,True,False,True,False,False,False,False
33,129.9,561,0,0.777,1,False,False,False,False,True,False,False,False,True,False,False,False,True
64,115.64,156,0,0.253,1,False,False,True,False,True,False,False,False,False,True,False,False,True
27,24.75,19,5,0.218,1,True,False,False,False,False,False,True,False,True,False,False,False,False
